MET,TIME,SAMPLE,QT
aspartic acid,0.5,1,0.728
aspartic acid,0.5,2,0.839
aspartic acid,0.5,3,0.707
aspartic acid,1,1,0.746
aspartic acid,1,2,0.894
aspartic acid,1,3,0.686
aspartic acid,2,1,0.772
aspartic acid,2,2,0.762
aspartic acid,2,3,0.783
aspartic acid,4,1,1.16
aspartic acid,4,2,1.35
aspartic acid,4,3,1
aspartic acid,12,1,0.678
aspartic acid,12,2,0.697
aspartic acid,12,3,0.679
aspartic acid,24,1,0.522
aspartic acid,24,2,0.494
aspartic acid,24,3,0.399
aspartic acid,48,1,0.609
aspartic acid,48,2,0.569
aspartic acid,48,3,0.662
aspartic acid,72,1,0.427
aspartic acid,72,2,0.453
aspartic acid,72,3,0.415
asparagine,0.5,1,1.1
asparagine,0.5,2,0.978
asparagine,0.5,3,1.17
asparagine,1,1,1
asparagine,1,2,0.957
asparagine,1,3,0.953
asparagine,2,1,1.2
asparagine,2,2,1.29
asparagine,2,3,1.41
asparagine,4,1,1.02
asparagine,4,2,1.04
asparagine,4,3,1.01
asparagine,12,1,0.659
asparagine,12,2,0.58
asparagine,12,3,0.599
asparagine,24,1,0.997
asparagine,24,2,1.03
asparagine,24,3,0.984
asparagine,48,1,0.868
asparagine,48,2,0.927
asparagine,48,3,0.856
asparagine,72,1,0.499
asparagine,72,2,0.398
asparagine,72,3,0.428
serine ,0.5,1,0.776
serine ,0.5,2,0.789
serine ,0.5,3,0.819
serine ,1,1,0.828
serine ,1,2,0.861
serine ,1,3,0.796
serine ,2,1,0.927
serine ,2,2,0.829
serine ,2,3,1.03
serine ,4,1,0.899
serine ,4,2,0.899
serine ,4,3,0.902
serine ,12,1,0.809
serine ,12,2,0.829
serine ,12,3,0.814
serine ,24,1,0.83
serine ,24,2,0.805
serine ,24,3,0.813
serine ,48,1,0.796
serine ,48,2,0.868
serine ,48,3,0.829
serine ,72,1,0.8
serine ,72,2,0.8
serine ,72,3,0.8
glycine,0.5,1,0.907
glycine,0.5,2,0.908
glycine,0.5,3,0.908
glycine,1,1,0.857
glycine,1,2,0.851
glycine,1,3,0.858
glycine,2,1,0.958
glycine,2,2,0.97
glycine,2,3,0.961
glycine,4,1,0.826
glycine,4,2,0.803
glycine,4,3,0.835
glycine,12,1,0.763
glycine,12,2,0.79
glycine,12,3,0.78
glycine,24,1,0.837
glycine,24,2,0.782
glycine,24,3,0.905
glycine,48,1,0.956
glycine,48,2,0.968
glycine,48,3,0.954
glycine,72,1,0.907
glycine,72,2,0.828
glycine,72,3,0.892
alanine,0.5,1,0.956
alanine,0.5,2,0.96
alanine,0.5,3,0.935
alanine,1,1,0.829
alanine,1,2,0.811
alanine,1,3,0.844
