"MET","0.5","1","2","4","12","24","48","72"
"aspartic acid",0.05,0.09,0.06,0.17,0.02,0.06,0.08,0.05
"asparagine",0.11,0.02,0.11,0.06,0.08,0.02,0.03,0.07
"serine ",0.02,0.04,0.12,0.01,0.01,0.02,0.04,0
"glycine",0.01,0.02,0.01,0.03,0.01,0.04,0.03,0.04
"alanine",0.04,0.09,0.03,0.04,0,0.06,0.03,0.06
"glutamic acid",0.02,0.02,0.02,0.03,0.04,0.07,0.05,0.05
"glutamine",0.03,0.08,0.04,0.03,0.03,0.02,0.04,0.04
"threonine",0.06,0.04,0.06,0.01,0.06,0.03,0.08,0.03
"proline",0.03,0.02,0.02,0.01,0.03,0.01,0.03,0.04
"valine",0.01,0.06,0.11,0.04,0.03,0.01,0.01,0.05
"tryptophan",0.06,0.09,0.05,0.04,0.07,0.02,0.03,0.03
"isoleucine",0.04,0.03,0.14,0.03,0.04,0.05,0.04,0.02
"leucine",0.01,0.03,0.17,0,0.04,0.03,0.02,0.02
"phenylalanine",0.06,0.08,0.01,0.05,0.03,0,0.01,0.1
"pyruvate",0.08,0.27,0,0.14,0.15,0.47,0.63,0.07
"lactate",0,0.31,0.01,0.26,0.41,1.45,0.69,0.25
"phosphorate",0.01,0.1,0.01,0.13,0.09,0.07,0.13,0
"n-butylamine",0.15,0.12,0.02,0.11,0.19,0.04,0.05,0.16
"ethanolamine",0.04,0.31,0.02,0.14,0.01,0.03,0.02,0.02
"glycerol",0.06,0.24,0.02,0.04,0.09,0.21,0.07,0.04
"succinate",0.01,0.12,0.02,0.04,0.05,0,0.07,0.01
"glycerate",0.05,0.12,0,0.07,0.07,0.17,0.3,0.04
"fumarate",0.03,0.1,0.02,0.02,0.01,0.06,0.14,0.05
"cadaverine",0.04,0.05,0.04,0.03,0.08,0.06,0.04,0.01
"malate",0.03,0.15,0.06,0.01,0.03,0.38,0.06,0.05
"4-aminobutyrate",0,0.24,0,0.05,0.04,0.07,0.06,0.11
"cysteine",0.08,0.18,0.15,0.08,0.11,0.05,0.25,0.6
"a-ketoglutarate",0.17,0.26,0.17,0.29,0.27,0.05,0.42,0.03
"aconitate",0.11,0.21,0.03,0.4,0.18,0.14,0.04,0.14
"putrescine",0.01,0.06,0.02,0.14,0.06,0.02,0.13,0.01
"ribonate",0.01,0.08,0.02,0.03,0.04,0.08,0.01,0.02
"shikimate",0.08,0.19,0.02,0.03,0.01,0.06,0.04,0.14
"citrate",0.1,0.25,0.15,0.07,0.05,0.1,0.07,0.02
"D-fructose",0.02,0.1,0.01,0.05,0.02,0.04,0.15,0.09
"glucose",0,0.02,0.01,0.04,0.03,0.03,0.01,0.01
"lysine",0.02,0.62,0.01,0.23,0.07,0.08,0.04,0.01
"tyrosine",0.02,0.47,0.21,0.3,0.06,0.05,0.34,0.03
"gluconate",0.01,0.08,0.02,0.05,0.04,0.03,0.04,0.02
"galactonate",0.07,0.05,0,0.02,0.03,0.03,0.05,0.05
"inositol",0,0.13,0.01,0.05,0.03,0.24,0.08,0.03
"uric acid",0.01,0.45,0.1,0.19,0.1,0.25,0.16,0.04
"sucrose",0.01,0.11,0.06,0.15,0.11,0.04,0.22,0.05
"trehalose",0.08,0.13,0.04,0.09,0.1,0.06,0.13,0.02
