metabolites,30 min,1 h,2 h,4 h,12 h,24 h,48 h,72 h
aspartic acid,0.77±0.05 ,0.74±0.09 ,0.80±0.06 ,1.14±0.17 ,0.70±0.02 ,0.53±0.06 ,0.59±0.08 ,0.38±0.05 
asparagine,1.01±0.11 ,0.97±0.02 ,1.17±0.11 ,0.95±0.06 ,0.74±0.08 ,1.00±0.02 ,0.87±0.03 ,0.46±0.07 
serine ,0.79±0.02 ,0.82±0.04 ,0.94±0.12 ,0.90±0.01 ,0.82±0.01 ,0.82±0.02 ,0.88±0.04 ,0.80±0.00 
glycine,0.91±0.01 ,0.85±0.02 ,0.96±0.01 ,0.82±0.03 ,0.78±0.01 ,0.81±0.04 ,0.97±0.03 ,0.87±0.04 
alanine,0.92±0.04 ,0.86±0.09 ,0.85±0.03 ,0.91±0.04 ,0.71±0.00 ,1.31±0.06 ,1.30±0.03 ,1.38±0.06 
glutamic acid,0.46±0.02 ,0.55±0.02 ,0.48±0.02 ,0.71±0.03 ,0.52±0.04 ,0.69±0.07 ,0.59±0.05 ,0.61±0.05 
glutamine,0.45±0.03 ,0.63±0.08 ,0.61±0.04 ,0.73±0.03 ,0.75±0.03 ,0.72±0.02 ,0.60±0.04 ,0.37±0.04 
threonine,0.90±0.06 ,1.04±0.04 ,1.08±0.06 ,0.98±0.01 ,0.89±0.06 ,1.16±0.03 ,1.01±0.08 ,0.54±0.03 
proline,0.96±0.03 ,1.04±0.02 ,0.93±0.02 ,0.80±0.01 ,0.95±0.03 ,1.08±0.01 ,0.97±0.03 ,0.64±0.04 
valine,0.81±0.01 ,1.01±0.06 ,1.01±0.11 ,1.01±0.04 ,0.85±0.03 ,0.69±0.01 ,0.70±0.01 ,0.43±0.05 
tryptophan,1.31±0.06 ,2.34±0.09 ,2.18±0.05 ,1.11±0.04 ,1.01±0.07 ,0.37±0.02 ,0.45±0.03 ,0.24±0.03 
isoleucine,1.07±0.04 ,1.21±0.03 ,1.20±0.14 ,1.12±0.03 ,0.92±0.04 ,0.85±0.05 ,1.04±0.04 ,0.16±0.02 
leucine,1.11±0.01 ,1.15±0.03 ,1.22±0.17 ,1.20±0.00 ,0.89±0.04 ,0.56±0.03 ,0.72±0.02 ,0.22±0.02 
phenylalanine,1.47±0.06 ,1.88±0.08 ,1.60±0.01 ,1.31±0.05 ,0.66±0.03 ,0.29±0.00 ,0.50±0.01 ,0.61±0.1
