metabolites,30 min,1 h,2 h,4 h,12 h,24 h,48 h,72 h
pyruvate,1.19 ± 0.08,1.32 ± 0.27,0.86 ± 0.00,0.68 ± 0.14,0.54 ± 0.15,1.84 ± 0.47,3.23 ± 0.63,3.63 ± 0.07
lactate,0.87 ± 0.00,1.26 ± 0.31,0.98 ± 0.01,0.67 ± 0.26,0.53 ± 0.41,4.94 ± 1.45,3.67 ± 0.69,12.75 ± 0.25
phosphorate,1.29 ± 0.01,0.92 ± 0.10,0.95 ± 0.01,1.21 ± 0.13,1.19 ± 0.09,1.92 ± 0.07,0.96 ± 0.13,0.55 ± 0.00
n-butylamine,1.09 ± 0.15,1.08 ± 0.12,1.07 ± 0.02,0.96 ± 0.11,0.95 ± 0.19,1.05± 0.04,1.03 ± 0.05,1.07 ± 0.16
ethanolamine,1.31 ± 0.04,1.45 ± 0.31,1.18 ± 0.02,1.22 ± 0.14,0.52 ± 0.01,0.59 ± 0.03,0.31 ± 0.02,0.26 ± 0.02
glycerol,1.61 ± 0.06,0.72 ± 0.24,0.68 ± 0.02,1.91 ± 0.04,1.42 ± 0.09,3.30 ± 0.21,0.90 ± 0.07,1.40 ± 0.04
succinate,0.75 ± 0.01,1.08 ± 0.12,0.80 ± 0.02,0.55 ± 0.04,0.39 ± 0.05,0.21 ± 0.00,0.87 ± 0.07,1.62 ± 0.01
glycerate,1.17 ± 0.05,0.82 ± 0.12,0.58 ± 0.00,0.97 ± 0.07,1.18 ± 0.07,1.60 ± 0.17,1.35 ± 0.30,0.70 ± 0.04
fumarate,0.82 ± 0.03,0.92 ± 0.10,0.72 ± 0.02,0.70 ± 0.02,0.53 ± 0.01,0.23 ± 0.06,0.91 ± 0.14,2.30 ± 0.05
cadaverine,1.06 ± 0.04,1.00 ± 0.05,1.07 ± 0.04,0.89 ± 0.03,0.92 ± 0.08,0.91 ± 0.06,1.08 ± 0.04,0.96 ± 0.01
malate,0.79 ± 0.03,1.11 ± 0.15,0.87 ± 0.06,0.73 ± 0.01,0.62 ± 0.03,1.17 ± 0.38,0.82 ± 0.06,2.27 ± 0.05
4-aminobutyrate,0.87 ± 0.00,1.26 ± 0.24,1.21 ± 0.00,0.87 ± 0.05,0.77 ± 0.04,1.01 ± 0.07,0.92 ± 0.06,1.70 ± 0.11
cysteine,1.03 ± 0.08,1.50 ± 0.18,1.34 ± 0.15,0.97 ± 0.08,0.74 ± 0.11,0.27 ± 0.05,1.23 ± 0.25,0.78 ± 0.60
a-ketoglutarate,1.17 ± 0.17,0.99 ± 0.26,0.90 ± 0.17,0.91 ± 0.29,0.84 ± 0.27,0.47 ± 0.05,1.88 ± 0.42,1.84 ± 0.03
aconitate,1.50 ± 0.11,0.91 ± 0.21,1.00 ± 0.03,1.71 ± 0.40,0.95 ± 0.18,0.70 ± 0.14,0.37 ± 0.04,0.82 ± 0.14
putrescine,0.60 ± 0.01,0.94 ± 0.06,0.82 ± 0.02,0.92 ± 0.14,0.87 ± 0.06,0.49 ± 0.02,0.80 ± 0.13,0.56 ± 0.01
ribonate,1.01 ± 0.01,1.00 ± 0.08,0.92 ± 0.02,0.87 ± 0.03,0.83 ± 0.04,0.78 ± 0.08,0.84 ± 0.01,0.81 ± 0.02
shikimate,0.71 ± 0.08,0.90 ± 0.19,0.60 ± 0.02,0.54 ± 0.03,0.53 ± 0.01,0.37 ± 0.06,0.76 ± 0.04,2.02 ± 0.14
citrate,1.10 ± 0.10,1.15 ± 0.25,1.60 ± 0.15,1.24 ± 0.07,1.00 ± 0.05,0.34 ± 0.10,0.61 ± 0.07,0.76 ± 0.02
D-fructose,0.72 ± 0.02,1.05 ± 0.10,0.89 ± 0.01,0.64 ± 0.05,0.26 ± 0.02,0.62 ± 0.04,0.85 ± 0.15,1.59 ± 0.09
glucose,0.97 ± 0.00,1.02 ± 0.02,1.02 ± 0.01,0.85 ± 0.04,0.85 ± 0.03,0.38 ± 0.03,0.63 ± 0.01,0.58 ± 0.01
lysine,1.32 ± 0.02,1.74 ± 0.62,1.85 ± 0.01,1.28 ± 0.23,0.70 ± 0.07,0.26 ± 0.08,0.97 ± 0.04,0.25 ± 0.01
tyrosine,1.81 ± 0.02,3.71 ± 0.47,3.64 ± 0.21,1.25 ± 0.30,0.76 ± 0.06,0.26 ± 0.05,0.84 ± 0.34,0.14 ± 0.03
gluconate,0.95 ± 0.01,1.08 ± 0.08,1.00 ± 0.02,0.85 ± 0.05,0.70 ± 0.04,0.36 ± 0.03,0.51 ± 0.04,0.48 ± 0.02
galactonate,1.07 ± 0.07,0.94 ± 0.05,0.95 ± 0.00,0.90 ± 0.02,0.78 ± 0.03,0.56 ± 0.03,0.75 ± 0.05,0.71 ± 0.05
inositol,1.03 ± 0.00,0.88 ± 0.13,0.83 ± 0.01,0.88 ± 0.05,1.00 ± 0.03,2.37 ± 0.24,1.63 ± 0.08,1.60 ± 0.03
uric acid,0.76 ± 0.01,1.52 ± 0.45,2.50 ± 0.10,0.74 ± 0.19,0.52 ± 0.10,0.78 ± 0.25,1.76 ± 0.16,1.46 ± 0.04
sucrose,0.86 ± 0.01,1.10 ± 0.11,1.49 ± 0.06,0.89 ± 0.15,1.08 ± 0.11,0.53 ± 0.04,2.12 ± 0.22,10.03 ± 0.05
trehalose,1.11 ± 0.08,0.96 ± 0.13,0.88 ± 0.04,0.75 ± 0.09,0.90 ± 0.10,0.73 ± 0.06,0.87 ± 0.13,1.42 ± 0.02
